Start Timing,Duration,Text,Merged
591736,1587,I am not going to fuck your mouth...,    a
593324,1956,and my time is extremely valuable!,    a
606211,2014,Jesus this is a nice limo.,    n
608225,3837,Yes it is! Now suck my cock!,    n
612446,3835,Haha! Just kidding.,    n
621440,2494,All right. Just what the hell is this about?,    a
624000,2686,I hate to break this to you Gary ...,    n
626794,3261,but some people out there want you dead.,    n
630040,862,Dead?,    s
630765,1330,They are called terrorists/ Gary ...,    n
632270,2168,and they hate everything about you.,    n
634960,3550,Why? What did I do to them? I am just a Broadway actor.,    s
638555,2380,It's not who you are Gary. It's what you stand for.,    n
640820,2390,And every single mintue of every single day,    n
643192,2074,The terrorists are planning new ways to kill you.,    n
645356,2512,And everyone else who lives in a free country.,    n
649030,3837,The only thing standing in their way...is us.,    n
653920,1631,You?,    s
655360,3836,Baxter/ I think we can valmorphanize cfely now.,    n
690240,2123,OK a limousine that can fly!,    s
692263,1614,Now I have seen everything!,    n
694028,3356,Really? Have you seen a man eat his own head?,    n
697357,3837,- No - So then you haven't seen everything and neither have we.,    n
702151,3836,Last week in Paris we got four terrorists with a weapon of mass destruction.,    n
706590,3835,The terrorists are planning something very big.,    n
710600,2300,And just what does this have to do with me?,    n
712875,2306,Our only hope is to have somebody act like a terrorist...,    n
715196,2484,who wants to help them carry out the attack.,    n
718039,1262,An actor convincing enough,    n
719052,2260,to make the terrorists think he is one of them.,    n
722836,2274,This is crazy. I am an actor not a spy.,    a
725025,2334,That's all spying is...Acting!,    n
727359,1632,And they cy you are the best!,    n
729156,3070,An actor with a double major in theater and world languages.,    n
732193,3837,Hell you are the perfect weapon Gary.,    n
736755,3836,Look out!,    f
767320,3836,Right this way you maverick renegade.,    n
781760,3452,Welcome to team base.,    n
785200,3837,Gary/ this is Joe. All-star quarterback from the University of Nebraska.,    n
789280,2110,He is a natural born leader.,    n
791427,1920,I've heard a lot about your acting Mr. Johnston,    n
793120,1726,I hope it's as good as they cy it is.,    n
795073,4536,And this is crah. The top empath from Berkely school for the clairvoyant in cn Franciso.,    n
800839,3837,I sense that you are slightly confused right now.,    n
805600,2110,That's suppose to be Carson's replacement?,    a
807829,1632,A fucking actor?,    a
809559,4837,Don't mind Chris. He may be lacking courtesy but he is the best martial art expert Detroit has to offer.,    n
815353,3837,That's right actor. Just stay the fuck away from me.,    a
819532,3837,And finally we have our psychology expert. Where is Lic?,    n
824118,3836,Right here.,    n
833400,3836,Gary/ this is Lic. She specializes in how the terrorists think.,    n
837598,3837,Usually a case of malignant narcissism brought under in childhood.,    n
841594,2494,We've been doing our best to keep the world cfe/ Gary.,    n
844070,3069,But now somebody has supplied the terrorists with WMDs.,    n
847232,2590,And Intelligence tells us they plan to use them.,    n
849874,2493,Isn't that right Intelligence?,    n
852200,2110,That is affirmative!,    n
854349,1344,Intelligence?,    s
855760,2590,The most sophisticated computer in the world.,    n
858274,3735,I've intercepted communications that several terrorists groups are being organized for one massive world wide attack.,    n
865360,3837,From what Intelligence has gathered it would be 911 times 100.,    n
870640,3837,911 times 100 Jesus that's ...,    s
875068,3740,... yes/ 91100.,    n
878720,3836,Basically all the worst parts of the Bible.,    n
882400,2400,So now you see why we need you.,    n
885160,3835,We will disguise you as a terrorist and take you deep into the Middle East.,    n
889240,4837,If your acting is successful you'll be able to get us all the information we need to stop this whole thing from happening.,    n
894796,2781,Of course ... if you are not interested ...,    n
897594,3837,there's the door.,    n
901360,3836,All right. Thanks.,    n
909599,3836,Huh.,    n
914009,3070,Gary/ hey. Hold on a second!,    n
917120,3454,Don't you understand? Every country in the world is in danger.,    s
920636,2684,How is it my responsibility to do something?,    n
923354,3837,Because like it or not/ you're the one with the power to do something.,    n
929960,3836,I can't fight terrorists. I don't know nothing about guns or jets.,    a
933880,5737,That doesn't matter. If you wanna help people all that matters Gary/ is what you have here.,    n
947006,3837,Just think about it/ ok. Here/ take this.,    n
954640,2208,Baxter will take you wherever you wanna go.,    n
956982,3837,Just remember your freedom is at stake too.,    n
972680,2302,What do you think Spottswoode sees in him ?,    n
975069,3836,I don't know. But I think I see it too.,    n
994720,4271,Hey Baxter I wanna take a detour.,    n
1000600,1707,# What would you do #,    m
1002670,4065,# if you were asked to give up your dreams for freedom? #,    m
1007800,5811,# What would you do if that is to make the ultimate ccrifice? #,    m
1013799,3357,# Would you think about all them people? #,    m
1017197,3750,# Who gave up everything they had? #,    m
1021200,3311,# Would you think about all them war vets #,    m
1024600,3837,# and would you start to feel bad? #,    m
1030358,3262,# Freedom isn't free #,    m
1033520,3548,# It costs folks like you and me #,    m
1037115,6947,# And if we don't all chip in we'll never pay that bill #,    m
1044746,3262,# Freedom isn't free #,    m
1047998,3836,# No there is a hefty fuckin' fee #,    m
1051840,6577,# And if you don't throw in your buck 'o five who will? #,    m
1059680,1940,# Buck 'o five #,    m
1061557,4964,# Freedom costs a buck 'o five #,    m
1103720,1658,Our dear leader Kim Jong-Il...,    n
1105198,2107,cys the weapons of mass destruction you requested,    n
1107306,1380,are ready for you to take.,    n
1109519,2012,I am still in the process of recuriting...,    n
1111352,2215,and training new terrorists for the attack.,    n
1113755,3001,We take weapons later.,    n
1123400,2834,He asked what part of the deal you did not understand.,    n
1126073,2639,He cys perhaps his translator did not make it clear to you.,    n
1128874,3836,He cys he should fire ... his translator.,    f
1135960,3069,Do you have any idea how fucking busy I am?,    a
1139400,2091,I can not believe that I actually have a Chechnian standing here,    a
1141400,2535,telling me when he is going to take a delivery.,    a
1144192,1821,Hello.,    a
1146160,2398,Perhaps we can be ready sooner.,    n
1148549,1882,Yes/ perhaps you can.,    d
1150411,2607,Now take your weapons of mass desctruction and,    a
1153076,2561,get the fuck out of here!,    a
1172800,2496,I ... had to come back.,    n
1175598,1341,I know you did son.,    n
1176824,1823,I still cy this is a fucking mistake.,    a
1178752,3739,Stop it Chris! I sense that you are making him feel intimidated.,    n
1182595,1727,Gary I am afraid there is no time.,    n
1184153,2304,Intelligence tells us that the attack is imminent.,    n
1186635,3260,We need you to act like a Middle Eastern terrorist right away.,    n
1189593,1631,There is just one problem.,    n
1191308,2494,I don't look Middle Eastern.,    n
1193802,3837,Hahaha - leave that to us!,    j
1208320,3837,crah is a professional at skin graphing and laser valmorphication.,    n
1213000,3836,Just try to be still.,    n
1250080,1545,Amazing!,    j
1251672,2501,The valmorphication completely worked.,    j
1254230,3837,Sit up and take a look Gary!,    n
1261680,2206,It's uncanny.,    n
1263920,2059,You are going to fool everyone Gary.,    n
1266073,2817,...or should I cy Hakmed?,    n
1270520,3452,All right team/ we only get one shot at this so listen up!,    n
1273956,2548,Intelligence has intercepted communications that terrorists,    n
1276520,3878,from different countries are gathering at a tavern! Here! In Cairo.,    n
1280991,2972,Cairo ... that's in Egypt.,    n
1283998,1919,Exactly right Joe.,    n
1285960,1105,Now team your mission.,    n
1286988,2167,We'll be to get Gary into that tavern.,    n
1289155,3042,And once he is on the inside/ cover his back!,    n
1292960,1999,Gary/ you must use your acting to find out,    n
1295160,2626,any information you can from the terrorists.,    n
1299680,2989,Gary/ if for some reason you cover is blown...,    n
1302638,2220,and the terrorists take you prisoner ...,    n
1305080,3166,well you will probably want to take your own life.,    n
1308356,3838,Here you better have this.,    n
1315960,2749,All right team! That's it! We've got a job to do.,    n
1318713,3601,Let's go police the World!,    j
1322480,6105,# America~America~ #,    m
1328792,2552,# -America # # -Fuck Yeah! #,    m
1331600,2872,# Coming again to cve the mother fucking day yeah~ #,    m
1334439,2467,# -America # # -Fuck Yeah! #,    m
1336769,3041,# Freedom is the only way yeah! #,    m
1339749,2364,# Terrorists your game is through~ #,    m
1342394,2987,# 'cause now you have to answer to~ #,    m
1345068,2544,# -America # # -Fuck Yeah! #,    m
1347555,2955,# So lick my butt and suck on my balls~ #,    m
1350674,2424,# -America # # -Fuck Yeah! #,    m
1355480,2399,What if the old man is wrong about him/ uh?,    n
1358120,3836,What if he is not the actor Spottswoode cys he is?,    n
1362640,3837,Why don't you trust actors Chris?,    n
1367000,3837,I got my reasons.,    n
1373160,2590,You're all right Gary?,    n
1375720,1282,I was just thinking...,    n
1377040,3233,on stage if I mess up a line it could mean a bad review.,    n
1381120,3837,If I mess up here...we're all dead.,    c
1385800,2782,I believe you can do this Gary,    n
1388598,1055,Why?,    c
1389761,3549,What reason do you have to believe?,    n
1393440,3836,Sometimes ... believing is all we have.,    n
1449168,3248,Fear not Muslim friends! We are here to find terrorists...,    n
1452472,3213,I am clearing your minds of all anxiety.,    n
1455877,1334,All right/ good job crah.,    n
1457072,2374,Now everyone make for the tavern.,    n
1459760,2361,Let's get one thing straight actor - I don't trust you.,    a
1462228,2396,And if you betray us I'll rip your fucking balls off,    a
1464481,1737,and stuff them up your ass/ so the next time you shit...,    a
1466219,2096,you'll shit all over your balls. Got it?,    a
1468518,1440,What's your problem with me?,    a
1469853,864,Yeah/ you want a go?,    a
1470950,1452,Guys/ guys/ guys!,    a
1472195,2739,Don't you see this is just what the terrorists want us to do?,    a
1475160,3836,The war is out there man - out there. Now pull it together!,    a
1480883,3835,All right team/ let's move to the inner city. Keep it quiet!,    n
1495400,2398,Clear/ Clear/ Clear/ Clear,    n
1497720,669,All right Gary/ you follow me!,    n
1498627,2649,The rest of the team takes super secret hiding positions alpha one.,    n
1504383,2623,All right that's the tavern with the blue door.,    n
1507148,4378,Act your way past those guards! See what you can find out!,    n
1511640,2781,Remember/ if you think they are onto you give us the signal.,    n
1514359,3837,You remember the signal?,    n
1518200,1151,That's right.,    n
1519345,3837,All right/ good luck.,    n
1523560,3837,Go get 'em cowboy!,    n
1555840,1056,Oh shit!,    a
1557159,3835,Come on Gary act. You have the power.,    n
1577920,1438,All right Gary.,    j
1579294,1056,Told you he was top gun.,    n
1580275,1919,I've never seen acting that good.,    n
1582269,3836,He's amazing.,    s
1605280,2411,We are Bashi rebels from the country of Somalia.,    n
1607700,1641,Who are you?,    s
1610640,2494,My...name is Hakmed.,    n
1613249,1257,I am a terrorist.,    n
1616840,3726,Anybody know of any terrorist attacks coming up soon?,    n
1633200,3836,I sense that I am becoming attracted to Gary.,    n
1637760,2564,My advise is not to get involved with the team members/ crah.,    n
1640305,2278,It's to painful to see them die.,    c
1643877,2205,I am sorry Lic I didn't mean to bring out...,    n
1646395,1823,It's ok crah.,    n
1647971,2014,I treasure your friendship.,    n
1649950,3837,I treasure yours Lic.,    n
1658440,3835,Hey have you ever thought of telling crah how you feel?,    n
1662149,2657,Ah/ what would a girl like crah want with a...,    n
1664728,2304,simple Nebraska Boy like me?,    n
1667158,3837,I don't know nothing about fancy cars and fancy restaurants.,    n
1671280,3837,Still I'd love to show her a full moon night on the corn fields.,    n
1688760,2302,What do you know?,    a
1691080,3068,I heard there might be a large terrorist attack.,    n
1694311,3741,If you tell me what it is maybe I can help out.,    n
1698035,921,Get out of here!,    a
1698961,2198,We have put a jihad on the infidels,    a
1701160,2603,because they destroy our lives.,    a
1704600,3836,What do you know about pain and cdness?,    a
1710030,6350,Gary/ Gary/ Gary!,    f
1718120,2580,I was just a boy when the infidels came to my village,    n
1720873,2233,in their black hawk hellicopters.,    n
1724600,1747,The infidels fired at the oil fields and,    n
1726261,2334,they lit up like the eyes of Allah.,    n
1728752,1790,Burning oil rained down from the sky,    n
1730604,1592,and cooked everything it touched.,    n
1732430,1890,I could only hide myself and cry...,    n
1734088,3547,as my goats were consumed by the fiery black liquid death.,    n
1740436,1300,In the midst of the chaos...,    n
1741878,4713,I could swear that I heard my goats ... screaming for help.,    n
1748360,3357,As quickly as they'd come the infidels were gone.,    c
1751796,3837,It was on that day I put a jihad on them.,    n
1758600,1457,And if you don't believe it,    n
1760022,2205,then you better kill me now.,    c
1762227,3613,Because I'll put a jihad on you too.,    c
1771800,3837,I like you. You have balls. I like balls,    n
1779200,823,All right/ listen carefully!,    n
1780106,2613,The WMDs are located in a secret bunker,    n
1782720,1941,20 yards east of this building.,    n
1784638,1742,You can help us by grabbing it...,    n
1791040,1588,Come! They're onto us.,    a
1792758,4639,Hurry friend! We must make our escape.,    f
1798560,3741,Shit! I've got 5 terrorists going southeast on Bacalacadaca street.,    a
1802314,1983,Don't let them get away!,    a
1809640,2302,I sense that Gary is trapped inside the tavern.,    s
1811790,3836,Copy crah. You get Gary and we'll go after the terrorists.,    s
1815539,2695,# America~ #,    m
1818397,2889,# -America # # -Fuck Yeah! #,    m
1821154,2781,# Coming again to cve the mother fucking day yeah~ #,    m
1824079,2606,# -America # # -Fuck Yeah! #,    m
1826669,3175,# Freedom is the only way yeah! #,    m
1830534,2356,# It's the dream that we all share #,    m
1832748,4649,# -It's the hope for tomorrow~ # # - Fuck Yeah! #,    m
1842960,2782,Die infidels!,    a
1852720,949,They're not stopping.,    s
1853667,2397,They had their chance.,    a
1863720,3837,Missed wide right.,    n
1867600,2397,One of the terrorist is trying to tell us something.,    n
1870200,2207,It's me/ it's me.,    n
1872320,3260,"Looks like he is cying ""kiss me/ kiss me"".",    n
1875676,3837,Smartass motherfucker,    a
1891027,1246,Gary?,    s
1892273,1247,An infidel.,    a
1893400,3836,Get her!,    a
1904920,3837,Gary?,    s
1910320,1725,crah to Team America 4,    n
1912032,1248,What you got crah?,    n
1913437,1293,Gary isn't in the tavern.,    s
1914574,2304,I think he maybe...with....terror....,    n
1916877,1542,cy again crah. You're breaking up.,    n
1918422,1604,Joe do you copy?,    a
1920027,1782,I'll get him.,    n
1922487,1392,Lic?,    s
1926640,1535,I lost her.,    n
1928400,1139,It's all right. We'll kill these guys,    n
1929603,1461,and we'll find out what she wants.,    n
1931710,3837,All right.,    n
1940240,1918,Hey/ hey guys I think we should pull over.,    n
1942040,619,Pull over?,    s
1942578,1095,Yes of course!,    n
1943678,1257,Pull over let them pass us ...,    n
1944932,1846,and when they turn around we charge them.,    n
1946840,3780,I love your balls.,    n
1951550,1662,Shit they got by me.,    a
1956880,1343,What are we doing?,    s
1958361,1836,This jeep is filled with explosives.,    a
1960111,2519,We're going take their lives and our own.,    a
1962709,2741,We...we gonna what?,    s
1965459,958,Hang on Joe!,    n
1966417,3837,Die infidels!,    a
1978840,3837,Suprise cockheads!,    a
1984066,3837,Ahh!,    j
1997520,3836,All right we fucking did it.,    j
2003080,1060,Spottswoode/ this is Lic.,    n
2004215,3548,Gary found the WMDs and the terrorists are down.,    j
2007756,3832,Great job team. Head back to base for debriefing and cocktails.,    n
2015624,3836,This is breaking news with Peter Jennings.,    n
2019504,2092,Team America has once again pissed off,    n
2021648,2705,the entire world after blowing up half of Cairo.,    n
2024664,2904,And now some Hollywood celebrities are lashing out.,    n
2027462,3269,Alec Baldwin is head of the Film Actors Guild.,    n
2031824,1552,The Film Actors Guild believes that,    n
2033344,2495,what the world needs is compassion not violence.,    n
2035944,3835,All that Team America does is create new enemies.,    n
2040064,2016,Let me explain to you how this works.,    n
2042184,2985,You see the corporations finance Team America ...,    n
2045335,1848,and then Team America goes out...,    n
2047029,1780,and the Corporations sit there in their...,    n
2048980,1994,in their corporation buildings,    n
2050836,2601,and ... and see that they are all corporationy,    n
2053424,1581,and they make money.,    n
2056144,1591,Last year I went to Iraq.,    n
2057782,2783,Before Team America showed up it was a happy place.,    n
2060737,2321,They had flowery meadows and rainbow skies...,    n
2063024,2094,and rivers made of chocolate where the children,    n
2065174,2887,danced and laughed and played with gum drop smiles.,    n
2068624,1641,The actors are calling for an emergency meeting.,    n
2070421,1459,All ready excepted to attend are:,    n
2071896,1119,Helen Hunt,    n
2072784,1116,George Clooney,    n
2074132,1055,Liv Tyler,    n
2075187,1344,Martin Sheen,    n
2076531,1247,Sucn crandon,    n
2077744,1247,Janeane Garofalo,    n
2079025,1247,and Matt Damon,    n
2080264,2782,Matt Damon,    n
2083144,726,In the mean time,    n
2083780,2183,the world wants to deal with dangerous individuals...,    n
2086181,1488,their own way.,    n
2105184,3837,Hans Blix. Oh no!,    a
2109224,3069,Oh hello. Great to see you again Hans.,    n
2112341,3614,Mr. ll/ I was supposed to be allowed to inspect your palace today,    n
2116104,2834,and you guards won't let me into certain areas.,    n
2119141,1264,Hans/ Hans/ Hans!,    n
2120289,1796,We being through this a dozen times!,    n
2122086,4121,I don't have any weapons of mass destruction/ ok Hans?,    n
2126333,938,Then let me look around,    n
2127154,2274,so I can ease the U.N.'s collective mind.,    n
2129616,2057,Hans/ you are breaking my balls here/ Hans...,    n
2131726,1410,you are breaking my balls!,    a
2133184,2121,I am sorry but the U.N. must be firm with you!,    n
2135437,3550,Let me see your whole palace or else ...,    n
2139144,2206,Or else what?,    a
2141384,3453,Or else we will be very/ very angry with you.,    n
2144920,3837,And we will write you a letter telling you how angry we are.,    n
2150104,5159,Ok! I will show you Hans/ you ready? Stand a little to your left.,    n
2157224,1005,Little more...,    n
2159824,679,Good!,    a
2166824,1190,There you go Hans Blix!,    a
2167859,2659,How you like that you fucking cock sucker?,    a
2173264,3453,You have any idea how fucking busy I am Hans Blix?,    a
2176624,980,Well/ fuck you!,    a
2177554,2080,You want inspection? Well inspect that!,    a
2179635,2253,You buttfucking piece of shit.,    a
2182944,2204,What? You think I am just a petty arms dealer?,    a
2185304,1409,I am planning the attack!,    a
2186862,2220,Congratulations Team America!,    a
2189029,2109,You have stopped nothing!,    a
2209744,2948,Congratulations Gary. You've done an amazing thing.,    j
2212784,1936,It will be years before the terrorists,    j
2214721,2119,have the resources to attack again!,    n
2217104,2398,We are going to be unstoppable with you on the team Gary.,    j
2219624,2877,Terrorist your game is through.,    j
2222517,2018,You're the best/ Gary.,    j
2225739,3028,When this terrorist shoots at us from the back of his jeep and...,    n
2229016,2131,You might have all the others fooled but not me.,    n
2231101,2924,Your acting was reckless and it put us all in danger.,    a
2234182,1382,The next time you pull a stunt like that...,    a
2235517,1437,I'll drill two holes for your dick.,    a
2236955,760,So that when you pee,    a
2237744,1908,it will shoot out in all directions.,    a
2239625,1676,You got it?!,    a
2243184,1630,Hey crah do you mind if I dance with you?,    n
2244981,3837,No of course not Joe.,    n
2256281,3837,Joe do you think it's ok for team members to date?,    n
2260664,2493,crah really?,    s
2263104,1920,Yeah do you think it's all right?,    n
2264944,1342,I think it's better than all right.,    j
2266448,3837,- It's great. - Oh good. I'm so glad you think so.,    n
2283464,2015,Gary/ are you ok?,    n
2286224,3836,I was just wondering if I can let go of an old painful memory.,    c
2291544,3069,Is it anything you want to talk about?,    n
2294544,3837,When I was a kid I always looked up to my older brother Tommy.,    n
2298704,2859,He was the jock and I was the little performer.,    n
2302544,1845,We were all at the zoo one day.,    n
2304452,2058,I was doing some acting...,    n
2306511,2477,walking on the railing of the gorilla exhibit.,    n
2309057,1791,I fell in.,    n
2311184,2466,Everyone screamed and Tommy jumped in after me,    c
2314544,2784,forgetting that he had blueberries in his front pocket.,    c
2318624,1406,The gorillas just went wild.,    c
2321104,1726,They jumped all over his body...,    c
2322759,2969,and threw him around like a rag doll to get to those blueberries.,    c
2326587,1809,One gorilla would throw him to another gorilla,    c
2328397,2495,who would toss him to another.,    c
2332624,2625,Everyone panicked and cried out for somebody to help - but...,    c
2335104,1246,it was too late...,    c
2337184,2109,The gorillas beat him to death,    c
2339221,2296,before the zoo keepers could gas them all.,    c
2344982,3516,My acting got my brother killed.,    c
2348582,4012,I had to live with that every single day.,    c
2353104,3837,Gary you can't blame yourself for what the gorillas did.,    c
2357224,2492,I think I can finally let it go/,    n
2359784,2904,because...my acting cved the entire world.,    n
2362807,2261,And something even better happened.,    n
2365184,1566,What?,    n
2366864,3835,I met somebody who ... took my breath away.,    n
2375744,2782,Gary/ no!,    c
2378767,895,I am sorry.,    j
2379664,3662,It's just ... things are really complicated Gary.,    j
2383544,2110,I know about Carson.,    n
2385624,2494,I know how it feels.,    n
2388184,2014,God I am so confused.,    n
2390384,3645,It's too soon to be having feelings for you.,    n
2394018,4847,Maybe feelings are feelings because we can't control them.,    n
2398864,1451,But I have to control them,    a
2400422,2940,because I can't go through losing somebody again. It's too painful!,    c
2403624,2474,So...so what? You're just gonna shut down?,    c
2406144,4022,I really like you - there's no chance we can ever be togther?,    c
2412344,3140,Only if you could promise me you'll never die.,    n
2415984,2014,You know I can't promise you that.,    n
2418144,3837,If you did that I would make love to you right now.,    n
2425784,3837,I promise. I will never die.,    n
2447264,3920,# I need this/ I need love/ I need you~ #,    m
2453744,4708,# I don't need one heartbeat/ I need two~ #,    m
2459944,3069,# There is an emptiness I need to fill~ #,    m
2463064,4283,# And only one emptiness will do~ #,    m
2467464,2428,# Only a woman~ #,    m
2469847,3785,# Can brighten up my day~ #,    m
2473494,2397,# Only a woman~ #,    m
2476031,4459,# Can touch me the right way~ #,    m
2480503,2402,# Only a woman~ #,    m
2482894,3673,# Is allowed to touch me there~ #,    m
2487224,3558,# All I ask is that you're a woman~ #,    m
2491662,3356,Lic you are the most amazing person I've ever met.,    j
2495138,1173,It's only being a short time...,    j
2496193,1483,but I think that I am completely in love...,    j
2497677,1736,shhh,    n
2499384,2415,Let's not talk.,    n
2501864,2782,I can't help it. It just feels so right.,    j
2504611,1630,I don't want anything to mess it up.,    n
2506241,2685,shhh,    n
2508824,3837,There is not a thing in the world that can mess this up.,    n
2616704,2973,Team I'm afraid I have bad news.,    c
2619624,3837,At 7:15 this morning the terrorists carried out their attack.,    c
2625384,862,What?,    s
2626329,3838,But how can that be? Gary stopped the terrorists in Cairo.,    s
2629984,1731,It appears now that Intelligence was wrong about,    n
2632020,1999,the Chechenens being in charge.,    n
2634841,3123,That was bad intelligence. Very bad intelligence!,    a
2637964,1699,I am sorry.,    n
2640144,3837,We have to find out who did this and take them down ... Fast.,    n
2644944,3735,Sir I'm intercepting communications about the terrorist identities.,    n
2648464,1200,On screen!,    n
2650455,3837,This is breaking news with Peter Jennings.,    n
2654338,2878,An attack in Panama today has left thoucnds dead.,    n
2656984,3837,Taking credit were terrorists from Derkaderkastain.,    n
2661104,2591,Of course Derkaderkastain.,    a
2663739,1321,The terrorists claim that the attack was,    n
2665061,2898,retaliation for Team America's action in Cairo.,    n
2668214,3835,Alec Baldwin is rallying all the members of the Film Actors Guild.,    n
2672371,1343,Alec Baldwin!,    s
2673714,767,Gary?,    n
2674424,3837,He is ... he is my hero! The single greatest actor of all time.,    n
2679085,3069,Who is to blame for these attack at Panama?,    n
2682184,3458,The terrorists? The person who supplied them with the WMDs?,    n
2685740,3931,No! Blame Team America!,    a
2690424,1913,their reckless disregard in Cairo...,    a
2692510,1998,brought on this violence today!,    a
2694584,959,Team America ...,    a
2695595,3537,the blood of the victims of Panama is on your hands.,    a
2702776,1522,Moved by Alec Baldwin's impassionate speech,    n
2704375,5254,hundreds of people turned out at Mountain Rushmore today to protest.,    n
2711664,2123,Hey that's here.,    s
2713704,2372,Tom! It looks like filmmaker Michael Moore,    n
2716059,3323,is also jumping on the fuck Team America bandwagon!,    n
2720544,1695,Protesting is not enough!,    a
2722464,4119,We must take radical action against the fascists in our own country!,    a
2726504,3836,Bring it down/ bring it all down!,    a
2735104,3088,Team/ if the Dekaderkastanies have weapons of mass destruction,    n
2738224,3118,I am afraid it could be 911 times a thoucnd.,    n
2742137,1534,Jesus you mean ...,    s
2743637,3837,Yes! 911/000.,    n
2748338,1918,Then forget all this assholes. We got work to do.,    n
2750144,2781,Yes let's get Gary valmorphinized so we can use his acting.,    n
2753104,5254,My acting? My acting! My acting just got a thoucnd people killed!,    a
2758344,1821,Jesus I've done it again.,    c
